Entity,Code,Year,Coal,Oil,Gas,Nuclear,Hydropower,Wind,Solar,Other renewables
Tunisia,TUN,1969,,,,0,,,,
Tunisia,TUN,1970,,,,0,,,,
Tunisia,TUN,1971,,,,0,,,,
Tunisia,TUN,1972,,,,0,,,,
Tunisia,TUN,1973,,,,0,,,,
Tunisia,TUN,1974,,,,0,,,,
Tunisia,TUN,1975,,,,0,,,,
Tunisia,TUN,1976,,,,0,,,,
Tunisia,TUN,1977,,,,0,,,,
Tunisia,TUN,1978,,,,0,,,,
Tunisia,TUN,1979,,,,0,,,,
Tunisia,TUN,1980,,,,0,,,,
Tunisia,TUN,1981,,,,0,,,,
Tunisia,TUN,1982,,,,0,,,,
Tunisia,TUN,1983,,,,0,,,,
Tunisia,TUN,1984,,,,0,,,,
Tunisia,TUN,1985,,,,0,,,,
Tunisia,TUN,1986,,,,0,,,,
Tunisia,TUN,1987,,,,0,,,,
Tunisia,TUN,1988,,,,0,,,,
Tunisia,TUN,1989,,,,0,,,,
Tunisia,TUN,1990,,,,0,,,,
Tunisia,TUN,1991,,,,0,,,,
Tunisia,TUN,1992,,,,0,,,,
Tunisia,TUN,1993,,,,0,,,,
Tunisia,TUN,1994,,,,0,,,,
Tunisia,TUN,1995,,,,0,,,,
Tunisia,TUN,1996,,,,0,,,,
Tunisia,TUN,1997,,,,0,,,,
Tunisia,TUN,1998,,,,0,,,,
Tunisia,TUN,1999,,,,0,,,,
Tunisia,TUN,2000,,,,0,,,,
Tunisia,TUN,2001,,,,0,,,,
Tunisia,TUN,2002,,,,0,,,,
Tunisia,TUN,2003,,,,0,,,,
Tunisia,TUN,2004,,,,0,,,,
Tunisia,TUN,2005,,,,0,,,,
Tunisia,TUN,2006,,,,0,,,,
Tunisia,TUN,2007,,,,0,,,,
Tunisia,TUN,2008,,,,0,,,,
Tunisia,TUN,2009,,,,0,,,,
Tunisia,TUN,2010,,,,0,,,,
Tunisia,TUN,2011,,,,0,,,,
Tunisia,TUN,2012,,,,0,,,,
Tunisia,TUN,2013,,,,0,,,,
Tunisia,TUN,2014,,,,0,,,,
Tunisia,TUN,2015,,,,0,,,,
Tunisia,TUN,2016,,,,0,,,,
Tunisia,TUN,2017,,,,0,,,,
Tunisia,TUN,2018,,,,0,,,,
Tunisia,TUN,2019,,,,0,,,,
Tunisia,TUN,2020,,,,0,,,,
Tunisia,TUN,2021,,,,0,,,,
Tunisia,TUN,2022,,,,0,,,,
Tunisia,TUN,2023,,,,0,,,,
Tunisia,TUN,2024,,,,0,,,,
Turkey,TUR,1965,1319.5801,1298.1439,0,0,187.13054,0,0,9.661399
Turkey,TUR,1966,1431.5927,1510.537,0,0,195.75577,0,0,11.491159
Turkey,TUR,1967,1236.4193,1728.2548,0,0,194.30336,0,0,15.87719
Turkey,TUR,1968,1310.4767,2024.6252,0,0,252.53334,0,0,16.017986
Turkey,TUR,1969,1358.3799,2197.9214,0,0,267.38644,0,0,15.543016
Turkey,TUR,1970,1469.6824,2274.6067,0,0,229.93446,0,0,14.158619
Turkey,TUR,1971,1475.5024,2633.0747,0,0,193.25223,0,0,13.493304
Turkey,TUR,1972,1545.8159,2914.0208,0,0,231.60307,0,0,14.230339
Turkey,TUR,1973,1543.8838,3472.0847,0,0,183.87369,0,0,15.652994
Turkey,TUR,1974,1646.8749,3304.4163,0,0,231.82321,0,0,16.087322
Turkey,TUR,1975,1675.1025,3574.8474,0,0,399.45535,0,0,16.746593
Turkey,TUR,1976,1721.7401,3956.4658,0,0,555.21094,0,0,12.00776
Turkey,TUR,1977,1737.7039,4388.5376,0,0,556.7011,0,0,15.9269905
Turkey,TUR,1978,1727.767,4618.5254,0,0,594.10736,0,0,9.809188
Turkey,TUR,1979,1736.2526,4023.6301,0,0,642.10297,0,0,10.180199
Turkey,TUR,1980,1801.5316,4023.4846,0,0,694.1994,0,0,9.359416
Turkey,TUR,1981,1802.7042,3886.5413,0,0,756.5592,0,0,7.4210095
Turkey,TUR,1982,1981.5833,4071.6252,7.1829543,0,831.57635,0,0,0
Turkey,TUR,1983,2129.76,4182.213,7.707842,0,650.3443,0,0,0
Turkey,TUR,1984,2338.7122,4067.378,7.3395233,0,752.3143,0,0,1.3931175
Turkey,TUR,1985,2737.9895,4166.915,9.256296,0,660.0899,0,0,0.3699165
Turkey,TUR,1986,2949.6282,4417.8125,77.298615,0,636.94214,0,0,2.6314383
Turkey,TUR,1987,3051.2322,4884.9775,94.5837,0,978.66235,0,0,3.4240146
Turkey,TUR,1988,2891.6638,5088.932,210.6479,0,1491.6732,0,0,3.964969
Turkey,TUR,1989,3195.3733,4702.475,549.14105,0,906.4241,0,0,3.5583246
Turkey,TUR,1990,3329.8198,4888.154,576.5619,0,1147.8741,0,0,4.4686193
Turkey,TUR,1991,3495.1267,4681.303,693.9831,0,1105.232,0,0,6.5613613
Turkey,TUR,1992,3423.613,4863.8086,746.48193,0,1272.6306,0,0,6.288787
Turkey,TUR,1993,3113.7302,5479.9565,803.66223,0,1598.4642,0,0,7.0975585
Turkey,TUR,1994,3069.171,5149.4214,837.4999,0,1415.2158,0,0,6.767018
Turkey,TUR,1995,3151.7986,5680.982,1065.8502,0,1617.7883,0,0,15.787715
Turkey,TUR,1996,3492.3152,5844.973,1221.93,0,1814.8353,0,0,13.069777
Turkey,TUR,1997,3845.398,5673.5435,1480.8939,0,1759.6666,0,0,18.7342
Turkey,TUR,1998,3934.549,5580.6147,1543.0419,0,1840.4943,0.23971012,0,15.984308
Turkey,TUR,1999,3607.1917,5482.2593,1835.4875,0,1491.3073,0.8816033,0,10.348624
Turkey,TUR,2000,3992.627,5665.9272,2131.7144,0,1311.0027,1.4180576,0,11.534986
